"","id","tax","var","x","sign","lab","tax_level","lfc","order"
"26","f__Dethiosulfovibrionaceae1","p__Synergistetes","Glucose",0.3089612285559,"-","- Synergistetes","Phylum",-2.01256352235494e-06,2046
"27","s__vadensis2","p__Lentisphaerae","Glucose",0.311768200522562,"-","- Lentisphaerae","Phylum",-1.1625684339618e-05,3057
"28","s__arboriphilus1","p__Euryarchaeota","Glucose",0.313097686352508,"-","- Euryarchaeota","Phylum",-3.10425828390929e-05,3047
"29","o__Streptophyta6","p__Cyanobacteria","Glucose",0.314433960468596,"-","- Cyanobacteria","Phylum",-3.28175672745015e-05,3017
"30","f__Fusobacteriaceae5","p__Fusobacteria","Glucose",0.316262942837627,"-","- Fusobacteria","Phylum",-4.72649841049769e-05,2653
"31","o__RF3911","p__Tenericutes","Glucose",0.309735153666442,"+","+ Tenericutes","Phylum",2.6329101855491e-06,2532
"32","s__mucilaginosa2","p__Actinobacteria","Glucose",0.326456748011859,"-","- Actinobacteria","Phylum",-0.00015678204816426,2074
"33","s__perfringens1","p__Firmicutes","Glucose",0.330614637449195,"-","- Firmicutes","Phylum",-0.000215313633526115,1764
"34","f__[Cerasicoccaceae]5","p__Verrucomicrobia","HbA1c",0.38901486554438,"-","- Verrucomicrobia","Phylum",-0.00335813229804992,3070
"35","f__S24-717","p__Bacteroidetes","HbA1c",0.635222515361068,"-","- Bacteroidetes","Phylum",-0.00221978046075111,3686
"36","g__Sphingobium3","p__Proteobacteria","HbA1c",7.11106655307733,"-","- Proteobacteria","Phylum",-0.698196376117041,3345
"37","f__Dethiosulfovibrionaceae1","p__Synergistetes","HbA1c",0.356640979408162,"-","- Synergistetes","Phylum",-0.000183158946113197,2046
"38","s__vadensis2","p__Lentisphaerae","HbA1c",0.362592454939336,"+","+ Lentisphaerae","Phylum",0.00257167167347621,3057
"39","s__arboriphilus1","p__Euryarchaeota","HbA1c",0.369621253564855,"+","+ Euryarchaeota","Phylum",0.00200342452745569,3047
"40","o__Streptophyta6","p__Cyanobacteria","HbA1c",0.4031475954229,"-","- Cyanobacteria","Phylum",-0.00854623489843078,3017
"41","f__Fusobacteriaceae5","p__Fusobacteria","HbA1c",0.378417662561687,"+","+ Fusobacteria","Phylum",0.00593682292610187,2653
"42","o__RF3911","p__Tenericutes","HbA1c",0.423472587892756,"+","+ Tenericutes","Phylum",0.01490493329964,2532
"43","s__mucilaginosa2","p__Actinobacteria","HbA1c",0.507166336827246,"+","+ Actinobacteria","Phylum",0.00183575127451093,2074
"44","s__perfringens1","p__Firmicutes","HbA1c",0.45349702960086,"-","- Firmicutes","Phylum",-0.000335464337661466,1764
"45","f__[Cerasicoccaceae]5","p__Verrucomicrobia","CRP",0.320879381061662,"+","+ Verrucomicrobia","Phylum",5.80664388497995e-05,3070
"46","f__S24-717","p__Bacteroidetes","CRP",0.33501072077588,"-","- Bacteroidetes","Phylum",-0.000203689380335282,3686
"47","g__Sphingobium3","p__Proteobacteria","CRP",0.327513155080257,"-","- Proteobacteria","Phylum",-0.000161122748092144,3345
"48","f__Dethiosulfovibrionaceae1","p__Synergistetes","CRP",0.312173385084174,"+","+ Synergistetes","Phylum",1.72535943594844e-06,2046
"49","s__vadensis2","p__Lentisphaerae","CRP",0.313283490498568,"-","- Lentisphaerae","Phylum",-2.20067410254036e-06,3057
"50","s__arboriphilus1","p__Euryarchaeota","CRP",0.318272495533043,"+","+ Euryarchaeota","Phylum",1.69092355626222e-05,3047
"51","o__Streptophyta6","p__Cyanobacteria","CRP",0.316264664674947,"-","- Cyanobacteria","Phylum",-1.26257341756533e-05,3017
"52","f__Fusobacteriaceae5","p__Fusobacteria","CRP",0.314637972132456,"-","- Fusobacteria","Phylum",-7.13051560323112e-06,2653
"53","o__RF3911","p__Tenericutes","CRP",0.323571252861631,"-","- Tenericutes","Phylum",-6.23054280565365e-05,2532
"54","s__mucilaginosa2","p__Actinobacteria","CRP",0.345491619030361,"+","+ Actinobacteria","Phylum",0.000373220753878445,2074
"55","s__perfringens1","p__Firmicutes","CRP",0.330151733867034,"+","+ Firmicutes","Phylum",0.000168190577142963,1764
"56","f__[Cerasicoccaceae]5","p__Verrucomicrobia","Naive vs. Effector CD8+",0.365758401263491,"-","- Verrucomicrobia","Phylum",-0.00210080104815723,3070
"57","f__S24-717","p__Bacteroidetes","Naive vs. Effector CD8+",0.442854177487107,"+","+ Bacteroidetes","Phylum",0.000353043403907135,3686
"58","g__Sphingobium3","p__Proteobacteria","Naive vs. Effector CD8+",0.495621753442308,"-","- Proteobacteria","Phylum",-0.0093830475087866,3345
"59","f__Dethiosulfovibrionaceae1","p__Synergistetes","Naive vs. Effector CD8+",0.359841953356817,"-","- Synergistetes","Phylum",-0.00997543189568944,2046
"60","s__vadensis2","p__Lentisphaerae","Naive vs. Effector CD8+",0.373261141992729,"+","+ Lentisphaerae","Phylum",0.00884499884281436,3057
"61","s__arboriphilus1","p__Euryarchaeota","Naive vs. Effector CD8+",0.383025743014494,"-","- Euryarchaeota","Phylum",-0.00818363768959621,3047
"62","o__Streptophyta6","p__Cyanobacteria","Naive vs. Effector CD8+",0.586198016957503,"+","+ Cyanobacteria","Phylum",0.275343980982951,3017
"63","f__Fusobacteriaceae5","p__Fusobacteria","Naive vs. Effector CD8+",0.672215457221955,"-","- Fusobacteria","Phylum",-0.451517325828615,2653
"64","o__RF3911","p__Tenericutes","Naive vs. Effector CD8+",0.414000173186659,"-","- Tenericutes","Phylum",-0.00947984619193468,2532
"65","s__mucilaginosa2","p__Actinobacteria","Naive vs. Effector CD8+",0.354976215936148,"-","- Actinobacteria","Phylum",-0.00024100801464717,2074
"66","s__perfringens1","p__Firmicutes","Naive vs. Effector CD8+",0.39569587001592,"+","+ Firmicutes","Phylum",0.000176543834195192,1764
"67","f__[Cerasicoccaceae]5","p__Verrucomicrobia","CD4+ vs. CD8+",0.325322820780211,"-","- Verrucomicrobia","Phylum",-0.000216310508837856,3070
"68","f__S24-717","p__Bacteroidetes","CD4+ vs. CD8+",0.31886003184102,"+","+ Bacteroidetes","Phylum",8.15590073479789e-06,3686
"69","g__Sphingobium3","p__Proteobacteria","CD4+ vs. CD8+",0.350505655471861,"-","- Proteobacteria","Phylum",-0.00288482162337829,3345
"70","f__Dethiosulfovibrionaceae1","p__Synergistetes","CD4+ vs. CD8+",0.320621523835989,"-","- Synergistetes","Phylum",-0.00059704034814287,2046
"71","s__vadensis2","p__Lentisphaerae","CD4+ vs. CD8+",0.328536776416685,"+","+ Lentisphaerae","Phylum",0.00151763726609104,3057
"72","s__arboriphilus1","p__Euryarchaeota","CD4+ vs. CD8+",0.332668266690232,"-","- Euryarchaeota","Phylum",-0.00115764566570888,3047
"73","o__Streptophyta6","p__Cyanobacteria","CD4+ vs. CD8+",0.357286564767073,"+","+ Cyanobacteria","Phylum",0.0462972433001545,3017
"74","f__Fusobacteriaceae5","p__Fusobacteria","CD4+ vs. CD8+",0.338342936586817,"-","- Fusobacteria","Phylum",-0.0110188336020528,2653
"75","o__RF3911","p__Tenericutes","CD4+ vs. CD8+",0.322708393222487,"-","- Tenericutes","Phylum",-0.000335034411410313,2532
"76","s__mucilaginosa2","p__Actinobacteria","CD4+ vs. CD8+",0.3681470488904,"-","- Actinobacteria","Phylum",-0.0103262597752619,2074
"77","s__perfringens1","p__Firmicutes","CD4+ vs. CD8+",0.343350556566808,"+","+ Firmicutes","Phylum",0.0002199535841613,1764
"78","f__[Cerasicoccaceae]5","p__Verrucomicrobia","Th1 vs. Naive CD4+",0.321057288641432,"+","+ Verrucomicrobia","Phylum",6.41666329418637e-05,3070
"79","f__S24-717","p__Bacteroidetes","Th1 vs. Naive CD4+",0.315052529888198,"-","- Bacteroidetes","Phylum",-4.13520283147431e-05,3686
"80","g__Sphingobium3","p__Proteobacteria","Th1 vs. Naive CD4+",0.333521323892825,"+","+ Proteobacteria","Phylum",0.000270016290046366,3345
"81","f__Dethiosulfovibrionaceae1","p__Synergistetes","Th1 vs. Naive CD4+",0.3108803830668,"+","+ Synergistetes","Phylum",1.73412214722746e-05,2046
"82","s__vadensis2","p__Lentisphaerae","Th1 vs. Naive CD4+",0.31262494405165,"-","- Lentisphaerae","Phylum",-2.50407173206302e-05,3057
"83","s__arboriphilus1","p__Euryarchaeota","Th1 vs. Naive CD4+",0.313722259577183,"+","+ Euryarchaeota","Phylum",2.99848276253541e-05,3047
"84","o__Streptophyta6","p__Cyanobacteria","Th1 vs. Naive CD4+",0.318498452931506,"-","- Cyanobacteria","Phylum",-6.30886584813115e-05,3017
"85","f__Fusobacteriaceae5","p__Fusobacteria","Th1 vs. Naive CD4+",0.316603791843546,"+","+ Fusobacteria","Phylum",5.32544175518495e-05,2653
"86","o__RF3911","p__Tenericutes","Th1 vs. Naive CD4+",0.311671601028344,"+","+ Tenericutes","Phylum",1.85237104881591e-05,2532
"87","s__mucilaginosa2","p__Actinobacteria","Th1 vs. Naive CD4+",0.329994564926738,"+","+ Actinobacteria","Phylum",0.000213184031522773,2074
"88","s__perfringens1","p__Firmicutes","Th1 vs. Naive CD4+",0.325311458464811,"-","- Firmicutes","Phylum",-0.000127303845809914,1764
"89","f__[Cerasicoccaceae]5","p__Verrucomicrobia","Treg vs. Naive CD4+",0.350899736831738,"-","- Verrucomicrobia","Phylum",-0.00138002794113586,3070
"90","f__S24-717","p__Bacteroidetes","Treg vs. Naive CD4+",0.343402393451196,"-","- Bacteroidetes","Phylum",-0.000125379522013091,3686
"91","g__Sphingobium3","p__Proteobacteria","Treg vs. Naive CD4+",0.394749626711558,"-","- Proteobacteria","Phylum",-0.0258633353594216,3345
"92","f__Dethiosulfovibrionaceae1","p__Synergistetes","Treg vs. Naive CD4+",0.327897635451889,"-","- Synergistetes","Phylum",-0.00264661823492904,2046
"93","s__vadensis2","p__Lentisphaerae","Treg vs. Naive CD4+",0.333889666594145,"+","+ Lentisphaerae","Phylum",0.0030056011707909,3057
"94","s__arboriphilus1","p__Euryarchaeota","Treg vs. Naive CD4+",0.338087238229262,"-","- Euryarchaeota","Phylum",-0.00285769351015299,3047
"95","o__Streptophyta6","p__Cyanobacteria","Treg vs. Naive CD4+",0.380151560364259,"+","+ Cyanobacteria","Phylum",0.0567236118806256,3017
"96","f__Fusobacteriaceae5","p__Fusobacteria","Treg vs. Naive CD4+",0.393099442007463,"-","- Fusobacteria","Phylum",-0.105298228510109,2653
"97","o__RF3911","p__Tenericutes","Treg vs. Naive CD4+",0.330575290378873,"-","- Tenericutes","Phylum",-0.00171259340323367,2532
"98","s__mucilaginosa2","p__Actinobacteria","Treg vs. Naive CD4+",0.325551375297854,"-","- Actinobacteria","Phylum",-3.81041423631401e-05,2074
"99","s__perfringens1","p__Firmicutes","Treg vs. Naive CD4+",0.362160557445335,"+","+ Firmicutes","Phylum",0.000124960307753777,1764
"100","f__[Cerasicoccaceae]5","p__Verrucomicrobia","KLRG1 high vs. Naive CD8+",0.387462035620325,"+","+ Verrucomicrobia","Phylum",0.00172165411395739,3070
"101","f__S24-717","p__Bacteroidetes","KLRG1 high vs. Naive CD8+",0.453946555039486,"-","- Bacteroidetes","Phylum",-0.000665063679293648,3686
"102","g__Sphingobium3","p__Proteobacteria","KLRG1 high vs. Naive CD8+",0.422591636590018,"+","+ Proteobacteria","Phylum",0.000679372905704747,3345
"103","f__Dethiosulfovibrionaceae1","p__Synergistetes","KLRG1 high vs. Naive CD8+",0.376708643626479,"+","+ Synergistetes","Phylum",0.00774004457856256,2046
"104","s__vadensis2","p__Lentisphaerae","KLRG1 high vs. Naive CD8+",0.36838879690754,"-","- Lentisphaerae","Phylum",-0.00534008501568609,3057
"105","s__arboriphilus1","p__Euryarchaeota","KLRG1 high vs. Naive CD8+",0.356160833148975,"-","- Euryarchaeota","Phylum",-0.00144742719101938,3047
"106","o__Streptophyta6","p__Cyanobacteria","KLRG1 high vs. Naive CD8+",0.63403700754689,"-","- Cyanobacteria","Phylum",-0.36183904821324,3017
"107","f__Fusobacteriaceae5","p__Fusobacteria","KLRG1 high vs. Naive CD8+",0.685437978257305,"+","+ Fusobacteria","Phylum",0.460873913241769,2653
"108","o__RF3911","p__Tenericutes","KLRG1 high vs. Naive CD8+",0.361756147698775,"-","- Tenericutes","Phylum",-0.00300325355239387,2532
"109","s__mucilaginosa2","p__Actinobacteria","KLRG1 high vs. Naive CD8+",0.508367595350958,"+","+ Actinobacteria","Phylum",0.00176079413784479,2074
"110","s__perfringens1","p__Firmicutes","KLRG1 high vs. Naive CD8+",0.402096131843687,"+","+ Firmicutes","Phylum",0.000146550379061971,1764
"111","f__[Cerasicoccaceae]5","p__Verrucomicrobia","CD57+ vs. - NK",0.335674082532079,"+","+ Verrucomicrobia","Phylum",1.47087429044546e-05,3070
"112","f__S24-717","p__Bacteroidetes","CD57+ vs. - NK",0.339285798473404,"-","- Bacteroidetes","Phylum",-4.31019730081474e-05,3686
"113","g__Sphingobium3","p__Proteobacteria","CD57+ vs. - NK",0.558879219343808,"+","+ Proteobacteria","Phylum",0.0730725868634569,3345
"114","f__Dethiosulfovibrionaceae1","p__Synergistetes","CD57+ vs. - NK",0.343604013033378,"+","+ Synergistetes","Phylum",0.000731375976715995,2046
"115","s__vadensis2","p__Lentisphaerae","CD57+ vs. - NK",0.355731040306981,"-","- Lentisphaerae","Phylum",-0.00119555128947243,3057
"116","s__arboriphilus1","p__Euryarchaeota","CD57+ vs. - NK",0.364761966221188,"-","- Euryarchaeota","Phylum",-0.0030164055167033,3047
"117","o__Streptophyta6","p__Cyanobacteria","CD57+ vs. - NK",0.392373312365014,"-","- Cyanobacteria","Phylum",-0.00825178819875389,3017
"118","f__Fusobacteriaceae5","p__Fusobacteria","CD57+ vs. - NK",0.37605703229104,"+","+ Fusobacteria","Phylum",0.00435626658428151,2653
"119","o__RF3911","p__Tenericutes","CD57+ vs. - NK",0.348892067047529,"-","- Tenericutes","Phylum",-0.000712641846819748,2532
"120","s__mucilaginosa2","p__Actinobacteria","CD57+ vs. - NK",0.453712759513429,"+","+ Actinobacteria","Phylum",0.00827924489919182,2074
"121","s__perfringens1","p__Firmicutes","CD57+ vs. - NK",0.416915369783237,"-","- Firmicutes","Phylum",-0.00127574545312524,1764
"122","f__[Cerasicoccaceae]5","p__Verrucomicrobia","Hallmark Inflammation",0.382180593301103,"-","- Verrucomicrobia","Phylum",-0.00996364689633524,3070
"123","f__S24-717","p__Bacteroidetes","Hallmark Inflammation",0.351591704487704,"+","+ Bacteroidetes","Phylum",0.00022214225323087,3686
"124","g__Sphingobium3","p__Proteobacteria","Hallmark Inflammation",0.537363245961053,"-","- Proteobacteria","Phylum",-0.0709321994669449,3345
"125","f__Dethiosulfovibrionaceae1","p__Synergistetes","Hallmark Inflammation",0.346443446155694,"-","- Synergistetes","Phylum",-0.000733783873230593,2046
"126","s__vadensis2","p__Lentisphaerae","Hallmark Inflammation",0.357403358139613,"+","+ Lentisphaerae","Phylum",0.00415075477664586,3057
"127","s__arboriphilus1","p__Euryarchaeota","Hallmark Inflammation",0.364545268767412,"-","- Euryarchaeota","Phylum",-0.00590494805805097,3047
"128","o__Streptophyta6","p__Cyanobacteria","Hallmark Inflammation",0.37313133144958,"+","+ Cyanobacteria","Phylum",0.0141424851759759,3017
"129","f__Fusobacteriaceae5","p__Fusobacteria","Hallmark Inflammation",0.440516889929023,"-","- Fusobacteria","Phylum",-0.037300099414176,2653
"130","o__RF3911","p__Tenericutes","Hallmark Inflammation",0.342126821051987,"-","- Tenericutes","Phylum",-4.80721996867261e-05,2532
"131","s__mucilaginosa2","p__Actinobacteria","Hallmark Inflammation",0.411307469333001,"-","- Actinobacteria","Phylum",-0.00618806827631135,2074
"132","s__perfringens1","p__Firmicutes","Hallmark Inflammation",0.395429463888333,"+","+ Firmicutes","Phylum",0.00117581777668142,1764
"133","f__[Cerasicoccaceae]5","p__Verrucomicrobia","Hallmark ROS",0.318886103410828,"-","- Verrucomicrobia","Phylum",-7.22937120799624e-05,3070
"134","f__S24-717","p__Bacteroidetes","Hallmark ROS",0.328065351327043,"+","+ Bacteroidetes","Phylum",0.000214227239288087,3686
"135","g__Sphingobium3","p__Proteobacteria","Hallmark ROS",0.331694679790718,"-","- Proteobacteria","Phylum",-0.000311101043276415,3345
"136","f__Dethiosulfovibrionaceae1","p__Synergistetes","Hallmark ROS",0.314208733394102,"-","- Synergistetes","Phylum",-1.73015844239383e-05,2046
"137","s__vadensis2","p__Lentisphaerae","Hallmark ROS",0.317021394703937,"+","+ Lentisphaerae","Phylum",3.47586959219076e-05,3057
"138","s__arboriphilus1","p__Euryarchaeota","Hallmark ROS",0.31551807051785,"-","- Euryarchaeota","Phylum",-2.91312215160619e-05,3047
"139","o__Streptophyta6","p__Cyanobacteria","Hallmark ROS",0.320791646482088,"+","+ Cyanobacteria","Phylum",7.49972816370312e-05,3017
"140","f__Fusobacteriaceae5","p__Fusobacteria","Hallmark ROS",0.323422230508051,"-","- Fusobacteria","Phylum",-0.000125504391095298,2653
"141","o__RF3911","p__Tenericutes","Hallmark ROS",0.313025495059618,"+","+ Tenericutes","Phylum",3.72239964203243e-06,2532
"142","s__mucilaginosa2","p__Actinobacteria","Hallmark ROS",0.333246515096105,"-","- Actinobacteria","Phylum",-0.000342961003087188,2074
"143","s__perfringens1","p__Firmicutes","Hallmark ROS",0.326185711778575,"+","+ Firmicutes","Phylum",0.000210486329271033,1764
"144","f__[Cerasicoccaceae]5","p__Verrucomicrobia","Hallmark DNA Repair",0.31090931132087,"-","- Verrucomicrobia","Phylum",-7.73167243518642e-06,3070
"145","f__S24-717","p__Bacteroidetes","Hallmark DNA Repair",0.32488383839134,"+","+ Bacteroidetes","Phylum",0.000159807959424521,3686
"146","g__Sphingobium3","p__Proteobacteria","Hallmark DNA Repair",0.329355950456398,"-","- Proteobacteria","Phylum",-0.000230870199481756,3345
"147","f__Dethiosulfovibrionaceae1","p__Synergistetes","Hallmark DNA Repair",0.311916320285951,"-","- Synergistetes","Phylum",-9.52376542647401e-06,2046
"148","s__vadensis2","p__Lentisphaerae","Hallmark DNA Repair",0.313151016408105,"+","+ Lentisphaerae","Phylum",1.31111366083583e-05,3057
"149","s__arboriphilus1","p__Euryarchaeota","Hallmark DNA Repair",0.314680813199912,"-","- Euryarchaeota","Phylum",-2.16239548572756e-05,3047
"150","o__Streptophyta6","p__Cyanobacteria","Hallmark DNA Repair",0.318553818200074,"+","+ Cyanobacteria","Phylum",7.56743154012726e-05,3017
"151","f__Fusobacteriaceae5","p__Fusobacteria","Hallmark DNA Repair",0.316554193501291,"-","- Fusobacteria","Phylum",-4.73408410631118e-05,2653
"152","o__RF3911","p__Tenericutes","Hallmark DNA Repair",0.310015235990041,"-","- Tenericutes","Phylum",-1.21404680983593e-06,2532
"153","s__mucilaginosa2","p__Actinobacteria","Hallmark DNA Repair",0.322430108686916,"-","- Actinobacteria","Phylum",-0.000136468705755747,2074
"154","s__perfringens1","p__Firmicutes","Hallmark DNA Repair",0.320689253806427,"-","- Firmicutes","Phylum",-0.000119569850449798,1764
"155","f__[Cerasicoccaceae]5","p__Verrucomicrobia","Transcriptomic Age",0.350893484889455,"-","- Verrucomicrobia","Phylum",-0.000674158134321219,3070
"156","f__S24-717","p__Bacteroidetes","Transcriptomic Age",0.382897625118002,"-","- Bacteroidetes","Phylum",-0.000405328948524148,3686
"157","g__Sphingobium3","p__Proteobacteria","Transcriptomic Age",0.95455031409928,"-","- Proteobacteria","Phylum",-0.176142717752006,3345
"158","f__Dethiosulfovibrionaceae1","p__Synergistetes","Transcriptomic Age",0.363175224396781,"+","+ Synergistetes","Phylum",0.003813179064538,2046
"159","s__vadensis2","p__Lentisphaerae","Transcriptomic Age",0.356444586362145,"-","- Lentisphaerae","Phylum",-0.00236956438051347,3057
"160","s__arboriphilus1","p__Euryarchaeota","Transcriptomic Age",0.34632690018396,"-","- Euryarchaeota","Phylum",-0.000805737657956064,3047
"161","o__Streptophyta6","p__Cyanobacteria","Transcriptomic Age",0.424300773831855,"-","- Cyanobacteria","Phylum",-0.00488706202157384,3017
"162","f__Fusobacteriaceae5","p__Fusobacteria","Transcriptomic Age",0.371565052211044,"-","- Fusobacteria","Phylum",-0.00324474141301565,2653
"163","o__RF3911","p__Tenericutes","Transcriptomic Age",0.398998897920582,"-","- Tenericutes","Phylum",-0.00383892528150044,2532
"164","s__mucilaginosa2","p__Actinobacteria","Transcriptomic Age",0.567285297332786,"-","- Actinobacteria","Phylum",-0.0085581011637845,2074
"165","s__perfringens1","p__Firmicutes","Transcriptomic Age",0.46883867791105,"+","+ Firmicutes","Phylum",0.000432138685427594,1764
"166","s__muciniphila1","f__Verrucomicrobiaceae","LDL",0.569069880795925,"-","- Verrucomicrobiaceae","Family",-0.0227925351253959,4026
"167","g__Prevotella26","f__Prevotellaceae","LDL",0.433307166548718,"-","- Prevotellaceae","Family",-0.000970983072616443,3929
"168","g__[Prevotella]6","f__[Paraprevotellaceae]","LDL",0.422680590010489,"+","+ [Paraprevotellaceae]","Family",0.0010215276391819,4002
"169","g__Butyricimonas5","f__[Odoribacteraceae]","LDL",0.463736855789674,"+","+ [Odoribacteraceae]","Family",0.0045330062671449,3805
"170","g__Parabacteroides23","f__Porphyromonadaceae","LDL",0.439278242971327,"-","- Porphyromonadaceae","Family",-0.000841755720312091,3727
"171","f__[Barnesiellaceae]12","f__[Barnesiellaceae]","LDL",0.4362465196405,"-","- [Barnesiellaceae]","Family",-0.0023462651977302,3710
"172","f__S24-731","f__S24-7","LDL",0.579905723245655,"+","+ S24-7","Family",0.0486739497762473,3672
"173","g__Pedobacter2","f__Sphingobacteriaceae","LDL",0.618207279164422,"+","+ Sphingobacteriaceae","Family",0.0927134279598594,3628
"174","s__meningoseptica1","f__[Weeksellaceae]","LDL",0.783354230302781,"-","- [Weeksellaceae]","Family",-0.140834031464853,3596
"175","s__putredinis1","f__Rikenellaceae","LDL",0.472150811382563,"+","+ Rikenellaceae","Family",0.00334492145312991,3566
"176","g__Bacteroides23","f__Bacteroidaceae","LDL",0.497537895379291,"+","+ Bacteroidaceae","Family",0.0027517437328613,3501
"177","f__Desulfovibrionaceae4","f__Desulfovibrionaceae","LDL",1.00950299150963,"+","+ Desulfovibrionaceae","Family",0.0780927700027862,3396
"178","g__Sphingomonas3","f__Sphingomonadaceae","LDL",0.604409060401203,"-","- Sphingomonadaceae","Family",-0.084055813731133,3352
"179","f__Bradyrhizobiaceae3","f__Bradyrhizobiaceae","LDL",0.692115852851628,"+","+ Bradyrhizobiaceae","Family",0.0288563151991887,3323
"180","s__diminuta2","f__Caulobacteraceae","LDL",2.4594228316801,"-","- Caulobacteraceae","Family",-1.14576163654694,3313
"181","f__Rhizobiaceae2","f__Rhizobiaceae","LDL",0.486465000906271,"-","- Rhizobiaceae","Family",-0.0273250812478075,3291
"182","g__Stenotrophomonas3","f__Xanthomonadaceae","LDL",0.452502582855679,"-","- Xanthomonadaceae","Family",-0.0128014690217714,3274
"183","s__veronii2","f__Pseudomonadaceae","LDL",0.747136979450374,"-","- Pseudomonadaceae","Family",-0.0946716463354891,3266
"184","g__Sutterella10","f__Alcaligenaceae","LDL",0.476685127965546,"+","+ Alcaligenaceae","Family",0.00509372378958906,3220
"185","s__formigenes3","f__Oxalobacteraceae","LDL",1.10863973957825,"-","- Oxalobacteraceae","Family",-0.33957292154234,3205
"186","s__terrigena1","f__Comamonadaceae","LDL",0.540686541646731,"+","+ Comamonadaceae","Family",0.0381614894495869,3168
"187","s__bryophila1","f__Burkholderiaceae","LDL",0.503625078843899,"-","- Burkholderiaceae","Family",-0.0218935323597734,3152
"188","f__Succinivibrionaceae2","f__Succinivibrionaceae","LDL",0.650997609505756,"+","+ Succinivibrionaceae","Family",0.106523385162189,3140
"189","s__sakazakii1","f__Enterobacteriaceae","LDL",2.0387477722598,"+","+ Enterobacteriaceae","Family",0.915879204730535,3114
"190","s__parainfluenzae1","f__Pasteurellaceae","LDL",2.1338574521727,"-","- Pasteurellaceae","Family",-0.630787689728391,3106
"191","s__schindleri1","f__Moraxellaceae","LDL",1.18026182335158,"+","+ Moraxellaceae","Family",0.598649313256018,3079
"192","f__Victivallaceae4","f__Victivallaceae","LDL",0.491823630594067,"+","+ Victivallaceae","Family",0.0210803173601829,3060
"193","g__Methanobrevibacter4","f__Methanobacteriaceae","LDL",0.417926371037954,"+","+ Methanobacteriaceae","Family",0.000580034816311446,3041
